"AttributeName","Consistency","ValueIDS","RecordIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Revenuesource","1.0","Revenuesource-{us_companies_id_1399}","us_companies_id_1399","{Not reported by company}","Not reported by company","true","Not reported by company"
"Industry","1.0","Industry-{us_companies_id_1050}","us_companies_id_1050","{Finance & Investment}","Finance & Investment",,
"Name","0.0","Name-{top_2000_id_1806+us_companies_id_1002}","top_2000_id_1806+us_companies_id_1002","{Resolution|5PSolutions}","Resolution",,
"Revenue","0.5","Revenue-{top_2000_id_2080+us_companies_id_1158}","top_2000_id_2080+us_companies_id_1158","{0.0|0.0}","0.0",,
"Revenuesource","1.0","Revenuesource-{us_companies_id_1460}","us_companies_id_1460","{Not reported by company}","Not reported by company",,
"Revenuesource","1.0","Revenuesource-{us_companies_id_1012}","us_companies_id_1012","{Not reported by company}","Not reported by company","true","Not reported by company"
"Website","1.0","Website-{us_companies_id_1092}","us_companies_id_1092","{http://civisanalytics.com/}","http://civisanalytics.com/",,
"Revenue","1.0","Revenue-{top_2000_id_1495+us_companies_id_1460}","top_2000_id_1495+us_companies_id_1460","{0.0|0.0}","0.0",,
"Website","1.0","Website-{us_companies_id_1304}","us_companies_id_1304","{http://www.morganstanley.com}","http://www.morganstanley.com","true","http://www.morganstanley.com"
"Foundingdate","1.0","Foundingdate-{us_companies_id_1085}","us_companies_id_1085","{1882}","1882",,
"Revenue","1.0","Revenue-{top_2000_id_2066+us_companies_id_1456}","top_2000_id_2066+us_companies_id_1456","{0.0|0.0}","0.0",,
"Assets","1.0","Assets-{top_2000_id_1313+us_companies_id_1459}","top_2000_id_1313+us_companies_id_1459","{0.0|0.0}","0.0",,
"Industry","1.0","Industry-{us_companies_id_1085}","us_companies_id_1085","{Insurance}","Insurance",,
"Name","0.0","Name-{top_2000_id_1480+us_companies_id_1419}","top_2000_id_1480+us_companies_id_1419","{Sempra Energy|Simple Energy}","Simple Energy",,
"Marketvalue","0.0","Marketvalue-{top_2000_id_1037+us_companies_id_1489}","top_2000_id_1037+us_companies_id_1489","{1005.4|0.0}","0.0",,
"Foundingdate","1.0","Foundingdate-{us_companies_id_1050}","us_companies_id_1050","{1988}","1988",,
"Name","0.0","Name-{top_2000_id_1088+us_companies_id_1240+us_companies_id_1324}","top_2000_id_1088+us_companies_id_1240+us_companies_id_1324","{United Technologies|Intermap Technologies|Noveda Technologies}","Noveda Technologies",,
"Assets","1.0","Assets-{top_2000_id_1088+us_companies_id_1240+us_companies_id_1324}","top_2000_id_1088+us_companies_id_1240+us_companies_id_1324","{0.0|0.0|0.0}","0.0",,
"Hqcity","1.0","Hqcity-{us_companies_id_1456}","us_companies_id_1456","{Baltimore}","Baltimore",,
"Foundingdate","1.0","Foundingdate-{us_companies_id_1086}","us_companies_id_1086","{1812}","1812","true","1812"
"Assets","1.0","Assets-{top_2000_id_1159+us_companies_id_1164}","top_2000_id_1159+us_companies_id_1164","{0.0|0.0}","0.0",,
